字段描述	界面KEY	资源文件	界面分组	优先级	是否暂停被覆盖的界面	是否允许多开	是否锁定(锁定后常驻内存不卸载)	是否打开界面时刷新位置
	ViewShady	Assets/Shelter/Prefabs/UI/LFViewShady.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	WorldMarchQueueDetail	Assets/Shelter/Prefabs/World/UI/WorldMarchQueueDetail.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	LFWorldSoldierChange	Assets/Shelter/Prefabs/World/UI/LFWorldSoldierChange.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	LFWorldFormationNew	Assets/Shelter/Prefabs/World/UI/LFWorldFormationNew.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	LFWorldFormationNew1	Assets/Shelter/Prefabs/World/UI/LFWorldFormationNew1.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	LFWorldTeamList	Assets/Shelter/Prefabs/World/UI/LFWorldTeamList.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	LFWorldTeamList1	Assets/Shelter/Prefabs/World/UI/LFWorldTeamList1.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	MonsterTank	Assets/Main/Prefabs/Monsters/MonsterTank.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	MonsterTank2	Assets/Shelter/World/Actor/MonsterBoss.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	LFWorldPositioning	Assets/Shelter/Prefabs/World/UI/LFWorldPositioning.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	LFWorldNewsTips	Assets/Shelter/Prefabs/World/UI/LFWorldNewsTips.prefab	Dialog	99	FALSE	FALSE	FALSE	FALSE
	LFWorldBattleReport	Assets/Shelter/Prefabs/World/UI/LFWorldBattleReportView.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	LFMailView	Assets/Shelter/Prefabs/UI2/Mail/LFMailView.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	LFFunctionUnlock	Assets/Shelter/Prefabs/UI/LFFunctionUnlock.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	LFMoodExplanation	Assets/Shelter/Prefabs/UI/LFMoodExplanation.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	AllServerListView	Assets/Shelter/Prefabs/World/UI/CrossServerMove/AllServerListView.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	ServerInfoDialog	Assets/Shelter/Prefabs/World/UI/CrossServerMove/ServerInfoDialog.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	CrossMoveConfirmDialog	Assets/Shelter/Prefabs/World/UI/CrossServerMove/CrossMoveConfirmDialog.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	WorldCityOccupyTip	Assets/Shelter/Prefabs/World/WorldCity/UI/WorldCityOccupyTip.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	LFWorldCityBeSiegeView	Assets/Shelter/Prefabs/World/WorldCity/UI/LFWorldCityBeSiegeView.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	LFWorldCityGarrisonView	Assets/Shelter/Prefabs/World/WorldCity/UI/LFWorldCityGarrisonView.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	LFWorldSmallMap	Assets/Shelter/Prefabs/World/UI/LFWorldSmallMapUI.prefab	Scene	99	FALSE	FALSE	FALSE	FALSE
	WorldCityDetail	Assets/Shelter/Prefabs/World/UI/UIWorldCityDetailPanel.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	WorldCityFirstOccupyRewardTip	Assets/Shelter/Prefabs/World/UI/UIFirstOccupyRankTipPanel.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
清理丧尸界面	ClearZombie	Assets/Shelter/Prefabs/UI2/LFZombieClear.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
物品信息(介绍)界面	ViewIntroduction	Assets/Shelter/Prefabs/UI/LFItemIntroduction.prefab	Dialog	99	FALSE	FALSE	FALSE	FALSE
	LFAllianceMain	Assets/Shelter/Prefabs/UI/Common/LFAllianceMain.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
福利中心，礼包相关界面	WelfarePopup	Assets/Shelter/Prefabs/UI/LFGiftPackMain.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	FlyGood	Assets/Shelter/Prefabs/UI/Common/LFCommonFlyGood.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
礼包icon路径	GiftIconPathString	Assets/Shelter/Prefabs/UI/Gift/{0}.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	LFViewGarage	Assets/Shelter/Prefabs/UI/LFViewGarage.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	WaitResponse	Assets/Shelter/Prefabs/UI/Scene/WaitResponseView.prefab	Dialog	99	FALSE	FALSE	FALSE	FALSE
城防界面	LFDefenceView	Assets/Shelter/Prefabs/UI/LFDefenceView.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	LFViewCommonReward	Assets/Shelter/Prefabs/UI/CommonTips/LFViewCommonReward.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
VIP	LFViewVipMain	Assets/Shelter/Prefabs/UI2/Vip/LFViewVipMain2.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
VIP	LFViewVipPurchase	Assets/Shelter/Prefabs/UI2/Vip/LFViewVipPurchase2.prefab	UIResource	99	FALSE	FALSE	FALSE	FALSE
VIP	LFViewVipPointReward	Assets/Shelter/Prefabs/UI2/Vip/LFViewVipPointReward2.prefab	UIResource	99	FALSE	FALSE	FALSE	FALSE
VIP	LFViewVipReward	Assets/Shelter/Prefabs/UI2/Vip/LFViewVipReward2.prefab	UIResourcePopUp	99	FALSE	FALSE	FALSE	FALSE
VIP	LFViewVipItemList	Assets/Shelter/Prefabs/UI/Vip/LFViewVipItemList.prefab	UIResource	99	FALSE	FALSE	FALSE	FALSE
VIP	LFViewVipLevelUP	Assets/Shelter/Prefabs/UI2/Vip/LFViewVipLevelUP2.prefab	UIResourcePopUp	99	FALSE	FALSE	FALSE	FALSE
钻石不足界面	LFDiamongNotEnough	Assets/Shelter/Prefabs/UI2/LFDiamondNotEnough2.prefab	Dialog	99	FALSE	FALSE	FALSE	FALSE
招募英雄阵营选择	LFRecruitHeroCampPanel	Assets/Shelter/Prefabs/UI/LFRecruitHeroCampPanel.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	GuideArrowObject	Assets/Shelter/Prefabs/Scene/ArrowGuideObject.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
礼包跳转	LFGiftPackageTips	Assets/Shelter/Prefabs/UI/Common/LFGiftPackageTips.prefab	UIResource	99	FALSE	FALSE	FALSE	FALSE
世界搜索	LFViewWorldSearch	Assets/Shelter/Prefabs/UI/WorldSearch/LFWorldSearchView.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	LFViewWorldSearchArrow	Assets/Shelter/Prefabs/UI/WorldSearch/LFViewWorldSearchArrow.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
机器人工作报告	LFRobotWorkReport	Assets/Shelter/Prefabs/UI/Robot/LFRobotWorkReport.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
管理界面	LFManagementView	Assets/Shelter/Prefabs/UI/LFManagementView.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
UI 聚光特效	UIEffectSpotLight	Assets/Shelter/Prefabs/UI/UIEffectSpotLight.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
Room跳转战斗页面	RoomBattleManagerView	assets/shelter/prefabs/UI2/lfindoorpaintingview2.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
雷达警报界面	LFWorldAlertView	Assets/Shelter/Prefabs/UI/LFWorldAlertView.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
英雄招募十次预览界面	LFRecruitRewardPreview	Assets/Shelter/Prefabs/UI2/Recruit/LFRecruitRewardPreview2.prefab	Dialog	99	FALSE	FALSE	FALSE	FALSE
英雄升级Tips界面	LFPVEHeroUpgradeTipsView	Assets/Shelter/Prefabs/UI/LFPVEHeroUpgradeTipsView.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
英雄详情界面	UIHeroList	Assets/Shelter/Prefabs/UI2/Hero/UIHeroList.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
英雄详情界面	UIHeroMain	Assets/Shelter/Prefabs/UI2/Hero/UIHeroMain.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
英雄详情-英雄进阶界面	UIHeroAdvanceUpadeView	Assets/Shelter/Prefabs/UI2/Hero/Advance/UIHeroAdvanceUpadeView.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
英雄等级界面[最高等级和最低等级]	UIHeroLevel	Assets/Shelter/Prefabs/UI2/Hero/UIHeroLevel.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
获取新英雄展示界面	LFNewHeroShow	Assets/Shelter/Prefabs/UI2/Hero/NewHero/UINewHeroShow.prefab	UIResource	99	FALSE	FALSE	FALSE	FALSE
	LFWorldTrendsView	Assets/Shelter/Prefabs/Scene/WorldTrendScene.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
建造界面	UIBuilding	Assets/Shelter/Prefabs/UI2/Build/UIBuilding.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	LFScienceLog	Assets/Shelter/Prefabs/UI/Science/LFScienceLog.prefab	Dialog	99	FALSE	FALSE	FALSE	FALSE
老雷达界面	LFRescueScanView	Assets/Shelter/Prefabs/UI2/RadarCar/LFRescueScanView.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
雷达车界面	LFRadarCarView	Assets/Shelter/Prefabs/UI2/RadarCar/LFRadarCarView1.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
雷达车tips	UIPanelWorldPointRadarCar	Assets/Shelter/Prefabs/UI2/RadarCar/UIPanelWorldPointRadarCar.prefab	Default	99	FALSE	TRUE	FALSE	FALSE
Loading 界面	Loading	Assets/Shelter/Prefabs/UI/Loading/Loading.prefab	Loading	99	FALSE	FALSE	FALSE	FALSE
雷达车营救平民提示	LFRadarCarRescuePeopleView	Assets/Shelter/Prefabs/UI2/RadarCar/LFRadarCarRescuePeopleView.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
编辑模式主界面	UITypeEditCityView	Assets/Shelter/Prefabs/UI/UITypeEditCityView.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
王座战联盟修复进度界面	UIWorldThroneRecordPanel	Assets/Shelter/Prefabs/UI2/World/UIWorldThroneRecordPanel.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
PVE探索升级提示界面	UIPVEExploreUp	Assets/Shelter/Prefabs/UI2/PVE/UIPVEExploreUp.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
雷达车英雄剧情	UIRadarCarHandbook	Assets/Shelter/Prefabs/UI2/RadarCar/UIRadarCarHandbook.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
雷达车英雄剧情详细	UIRadarCarIntroduction	Assets/Shelter/Prefabs/UI2/RadarCar/UIRadarCarIntroduction.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
雷达车英雄剧情滤镜	RadarCarFilter	Assets/Shelter/Prefabs/UI2/RadarCar/UI_RadarCar_Filter.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
主界面活动中心入口	UIMainActivityIcon	Assets/Shelter/Prefabs/UI/Activity/ActItem/UIMainActivityIcon.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
服务器列表连接失败公告界面	ServerListErrorNotice	Assets/Shelter/Prefabs/UI/Loading/ServerListErrorNotice.prefab	Loading	99	FALSE	FALSE	FALSE	FALSE
Lua改名	LFCommonChangeName	Assets/Shelter/Prefabs/UI/Common/LFCommonChangeName.prefab	Dialog	99	FALSE	FALSE	FALSE	FALSE
Lua分享编队	LFShareCoordinatesView	Assets/Shelter/Prefabs/UI/LFShareCoordinatesView.prefab	Dialog	99	FALSE	FALSE	FALSE	FALSE
Lua查看编队	LFFormationShareView	Assets/Shelter/Prefabs/World/UI/LFFormationShareView.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
统用获取道具飞入背包效果	UIFlyGoodsView	Assets/Shelter/Prefabs/UI2/UIFlyGoodsView.prefab	Dialog	99	FALSE	FALSE	FALSE	FALSE
世界动兵车快速维修界面	UIWorldGarageRepare	Assets/Shelter/Prefabs/UI2/World/UIWorldGarageRepare.prefab	UIResource	99	FALSE	FALSE	FALSE	FALSE
联盟捐献界面	LFAllianceContributionAward	Assets/Shelter/Prefabs/UI/Alliance/AllianceDevelop/LFAllianceContributionAward.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
联盟成长任务与增益界面	LFAllianceDevelop	Assets/Shelter/Prefabs/UI/Alliance/AllianceDevelop/LFAllianceDevelop.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
编队保存选择阵容位置界面	LFWorldFormationSelect	Assets/Shelter/Prefabs/UI2/World/LFWorldFormationSelect.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
世界空地弹窗	UIPanelWorldPointBlank	Assets/Shelter/Prefabs/World/UI2/UIPanelWorldPointBlank.prefab	Default	99	FALSE	TRUE	FALSE	FALSE
世界地块资源点弹窗	UIPanelWorldPointRes	Assets/Shelter/Prefabs/World/UI2/UIPanelWorldPointRes.prefab	Default	99	FALSE	TRUE	FALSE	FALSE
世界地块玩家城弹窗	UIPanelWorldPointCity	Assets/Shelter/Prefabs/World/UI2/UIPanelWorldPointCity.prefab	Default	99	FALSE	TRUE	FALSE	FALSE
世界地块迁移避难所弹窗	UIPanelWorldPointMoveCity	Assets/Shelter/Prefabs/World/UI2/UIPanelWorldPointMoveCity.prefab	Default	99	FALSE	TRUE	FALSE	FALSE
世界地块怪物弹窗	UIPanelWorldPointMonster	Assets/Shelter/Prefabs/World/UI2/UIPanelWorldPointMonster.prefab	Default	99	FALSE	TRUE	FALSE	FALSE
世界地块怪物Boss弹窗	UIPanelWorldPointBoss	Assets/Shelter/Prefabs/World/UI2/UIPanelWorldPointBoss.prefab	Default	99	FALSE	TRUE	FALSE	FALSE
打地玩法，世界空地弹窗	UIPanelWorldRegionWarPointBlank	Assets/Shelter/Prefabs/World/UI2/UIPanelWorldRegionWarPointBlank.prefab	Default	99	FALSE	TRUE	FALSE	FALSE
打地玩法，世界地块资源弹窗	UIPanelWorldRegionWarPointRes	Assets/Shelter/Prefabs/World/UI2/UIPanelWorldRegionWarPointRes.prefab	Default	99	FALSE	TRUE	FALSE	FALSE
打地玩法，世界地块建筑弹窗	UIPanelWorldRegionWarPointBuilding	Assets/Shelter/Prefabs/World/UI2/UIPanelWorldRegionWarPointBuilding.prefab	Default	99	FALSE	TRUE	FALSE	FALSE
打地玩法，世界地块赛季资源弹窗	UIPanelWorldRegionWarPointSeasonRes	Assets/Shelter/Prefabs/World/UI2/UIPanelWorldRegionWarPointSeasonRes.prefab	Default	99	FALSE	TRUE	FALSE	FALSE
赛季地块管理	UIPanelWorldRegionWarManageMain	Assets/Shelter/Prefabs/World/UI2/UIPanelWorldRegionWarManageMain.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
打地玩法，建造建筑界面	UIPanelWorldRegionWarBuilding	Assets/Shelter/Prefabs/World/UI2/UIPanelWorldRegionWarBuilding.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
打地玩法，建筑升级界面	UIPanelWorldRegionWarBuildingLevelUp	Assets/Shelter/Prefabs/World/UI2/UIPanelWorldRegionWarBuildingLevelUp.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
打地玩法，建筑等级预览界面	UIPanelWorldRegionWarBuildingLevelPreview	Assets/Shelter/Prefabs/World/UI2/UIPanelWorldRegionWarBuildingLevelPreview.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
打地玩法，活动开启提示界面	UIWorldSeasonOpenPanel	Assets/Shelter/Prefabs/UI2/WorldSeason/UIWorldSeasonOpenPanel.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
打地玩法，玩法说明界面	UIWorldSeasonPlayingPanel	Assets/Shelter/Prefabs/UI2/WorldSeason/UIWorldSeasonPlayingPanel.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
雷达警报界面新的	UIWorldAlertView	Assets/Shelter/Prefabs/UI/UIWorldAlertView/UIWorldAlertView.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
IOS请求用户授权弹窗界面	UIAuthorizationTipPanel	Assets/Shelter/Prefabs/UI2/GameInit/UIAuthorizationTipPanel.prefab	Loading	99	FALSE	FALSE	FALSE	FALSE
选择旗帜界面	UISelectFlagPanel	Assets/Shelter/Prefabs/UI2/Personal/UISelectFlagPanel.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
选择旗帜确认界面	UISelectFlagConfirmPanel	Assets/Shelter/Prefabs/UI2/Personal/UISelectFlagConfirmPanel.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
联盟礼物	AllianceGift	Assets/Shelter/Prefabs/UI2/Alliance/LFAllianceGiftNew2.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
援助界面	LFWorldCityGarrisonViewOwn	Assets/Shelter/Prefabs/World/WorldCity/UI/LFWorldCityGarrisonViewOwn.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
赛季战令-奖励界面	UISeasonBattlePassAward	Assets/Shelter/Prefabs/UI2/SeasonBattlePass/UISeasonBattlePassAward.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
赛季战令-挑战界面	UISeasonBattlePassChallenge	Assets/Shelter/Prefabs/UI2/SeasonBattlePass/UISeasonBattlePassChallenge.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
赛季战令-升级成功界面	UISeasonBattlePassLevelUp	Assets/Shelter/Prefabs/UI2/SeasonBattlePass/UISeasonBattlePassLevelUp.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
赛季战令-主界面	UISeasonBattlePassMain	Assets/Shelter/Prefabs/UI2/SeasonBattlePass/UISeasonBattlePassMain.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
赛季战令-钻石购买等级界面	UISeasonBattlePassPurchaseLevel	Assets/Shelter/Prefabs/UI2/SeasonBattlePass/UISeasonBattlePassPurchaseLevel.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
赛季战令-任务界面	UISeasonBattlePassTask	Assets/Shelter/Prefabs/UI2/SeasonBattlePass/UISeasonBattlePassTask.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
赛季战令-购买进阶卡界面	UISeasonBattlePassPurchaseCard	Assets/Shelter/Prefabs/UI2/SeasonBattlePass/UISeasonBattlePassPurchaseCard.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
赛季战令-花钱购买等级界面	UISeasonBattlePassPayLevel	Assets/Shelter/Prefabs/UI2/SeasonBattlePass/UISeasonBattlePassPayLevel.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
赛季战令-进阶奖励预览	UISeasonBattlePassAdvanceAwardTip	Assets/Shelter/Prefabs/UI2/SeasonBattlePass/UISeasonBattlePassAdvanceAwardTip.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
主界面冠军对决入口	LFchampionBattleIcon	Assets/Shelter/Prefabs/UI/ChampionBattle/LFchampionBattleIcon.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
地铁站界面	LFUISubwayStationPanel	Assets/Shelter/Prefabs/UI2/Subway/LFUISubwayStationPanel.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
挂机界面	LFUISubwayRunningPanel	Assets/Shelter/Prefabs/UI2/Subway/LFUISubwayRunningPanel.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
地铁站描述	LFUISubwayStationTips	Assets/Shelter/Prefabs/UI2/Subway/LFUISubwayStationTips.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
地铁站战斗界面	LFSubwayStationBattleView	Assets/Shelter/Prefabs/UI2/Subway/LFSubwayStationBattleView.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
时间加速弹板提示	UITimeSpeedUpTips	Assets/Shelter/Prefabs/UI/Common/UITimeSpeedUpTips.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
带标题带前往按钮的tips	LFCommonWhiteTipsWithTitle	Assets/Shelter/Prefabs/UI/Common/LFCommonWhiteTipsWithTitle.prefab	Dialog	99	FALSE	FALSE	FALSE	FALSE
冠军对决规则说明界面	LFChampionBattleTips	Assets/Shelter/Prefabs/UI/ChampionBattle/LFChampionBattleTips.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
冠军对决交战记录界面	LFChampionBattleFight	Assets/Shelter/Prefabs/UI/ChampionBattle/LFChampionBattleFight.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
冠军对决编队界面	UIChampionBattleFormation	Assets/Shelter/Prefabs/UI/ChampionBattle/UIChampionBattleFormation.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
冠军对决冠军海报	LFChampionBattlePoster	Assets/Shelter/Prefabs/UI/ChampionBattle/LFChampionBattlePoster.prefab	Default	100	FALSE	FALSE	FALSE	FALSE
